comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Dave BananaMic",uoJoyMRBKto,"Male Mental Health || Dave Chappelle ...Stand-Up Comedy 2026",159184,1312,5369,2026-05-14T20:28:40Z,https://i.ytimg.com/vi/uoJoyMRBKto/hqdefault.jpg
"Devesh Dixit",far4bOQE69E,"LOVERBOY- Stand up Comedy by Devesh Dixit",1724125,51780,2332,2026-04-15T13:34:24Z,https://i.ytimg.com/vi/far4bOQE69E/hqdefault.jpg
"Devesh Dixit",PMWMprq0oJc,"Cult Games- Ep1 ft @aupmanyu @KaruneshTalwar @siddharthdudeja",183503,5802,2527,2026-07-31T11:47:54Z,https://i.ytimg.com/vi/PMWMprq0oJc/hqdefault.jpg
"Dhruv Rathee",bRtSGQYY3m4,"The Ranveer Allahbadia Controversy | Samay Raina | India's Got Latent | Dhruv Rathee",26357389,1376436,1753,2025-02-19T15:17:42Z,https://i.ytimg.com/vi/bRtSGQYY3m4/hqdefault.jpg
"Don Giller",QpD7BYULwpY,"Dave Chappelle Collection on Letterman, 1994-2014",5519408,44899,4107,2020-10-29T05:31:49Z,https://i.ytimg.com/vi/QpD7BYULwpY/hqdefault.jpg
Dostcast,ku5BobRq0to,"Samay Raina | Dostcast w/ Vinamre Kasanaa",1867440,40885,3834,2026-04-17T14:30:40Z,https://i.ytimg.com/vi/ku5BobRq0to/hqdefault.jpg
"Dry Bar Comedy",K-ZwTpeBLzo,"I have No Patience For Stupid People. Mike James - Full Special",4233036,81254,1561,2023-12-26T00:45:00Z,https://i.ytimg.com/vi/K-ZwTpeBLzo/hqdefault.jpg
"Dry Bar Comedy",ibVwBUNjgOE,"This Might Be The Best Comedy Special Ever. John Novosad - Full Special",3732170,51214,1541,2024-12-25T00:45:03Z,https://i.ytimg.com/vi/ibVwBUNjgOE/hqdefault.jpg
"Dry Bar Comedy",rsGt7wkETK4,"Get Ready To Be Offended. K-von - Full Special",1110599,31756,1267,2024-12-21T00:45:06Z,https://i.ytimg.com/vi/rsGt7wkETK4/hqdefault.jpg
"Entertaining Omi",H5F3KLYqFFQ,"Bas kar bassi | full (official video) | Anubhav singh bassi | stand up | comedy | amazon prime video",328362,2725,1722,2023-02-20T19:18:35Z,https://i.ytimg.com/vi/H5F3KLYqFFQ/hqdefault.jpg
"Funflix Comedy",uHRH5PgJvHU,"Zakir Khan Ki Makeup Class 💄😂 | The Kapil Sharma Show | Comedy Show |",612574,6620,3526,2026-06-02T13:00:36Z,https://i.ytimg.com/vi/uHRH5PgJvHU/hqdefault.jpg
"Gary Owen",JHbgA38R1OM,"Gary Owen: No Hard Feelings (2026) |  FULL SPECIAL",3889985,96129,3438,2026-03-07T22:00:07Z,https://i.ytimg.com/vi/JHbgA38R1OM/hqdefault.jpg
"Gary Owen",R7bVMWGpKOI,"Gary Owen: Off The Dome Houston | Crowd Work Compilation",2479925,33057,1847,2025-05-01T13:00:49Z,https://i.ytimg.com/vi/R7bVMWGpKOI/hqdefault.jpg
"Gaurav Kapoor",g3oNp6KQZJg,"LIE HARD Ep. 2 ft @AnubhavSinghBassi @gauravgupta6685 @ComicKaustubhAgarwal @boi_onkar",3125561,63733,4795,2025-06-06T06:51:02Z,https://i.ytimg.com/vi/g3oNp6KQZJg/hqdefault.jpg
"Gaurav Kapoor",EJzZ3ftkyt0,"LIE HARD Ep. 5 ft @AakashGupta @KennySebastian @TheRahulDua @ShreejaChaturvedi",2594038,53817,6270,2025-07-25T03:07:18Z,https://i.ytimg.com/vi/EJzZ3ftkyt0/hqdefault.jpg
"Gaurav Kapoor Vlogs",DxAsqinkmyE,"The @AakashGupta Wedding ft. Bahut Saare Comedians | Gaurav Kapoor Vlogs",10307791,277240,1207,2021-10-23T14:24:51Z,https://i.ytimg.com/vi/DxAsqinkmyE/hqdefault.jpg
"Gianmarco Soresi",sB9eWtzTOq0,"Gianmarco Soresi: Thief of Joy | Full Comedy Special",5278565,231650,3980,2025-09-19T23:00:07Z,https://i.ytimg.com/vi/sB9eWtzTOq0/hqdefault.jpg
"Gilly and Keeves",zKUpf1Vx0vs,"Shane Gillis Live In Austin | Stand Up Comedy",56324138,681813,2885,2021-09-07T14:00:22Z,https://i.ytimg.com/vi/zKUpf1Vx0vs/hqdefault.jpg
"Great Indian Comedy Central",1eHxYhQmjDI,"Comedy और Shayari की Class एक साथ.| Zakir Khan | Kapil Sharma | Best of The Kapil Sharma Show.",10703204,61594,2323,2025-03-31T11:30:02Z,https://i.ytimg.com/vi/1eHxYhQmjDI/hqdefault.jpg
"Great Indian Comedy Central",QngJL3TlUh4,"No Bakwas Only Full on Comedy.| ZAKIR KHAN | BHUVAN BAM | ANUBHAV SINGH BASSI | HARSH GUJRAL | TKSS.",7758383,62471,2548,2025-06-11T11:45:04Z,https://i.ytimg.com/vi/QngJL3TlUh4/hqdefault.jpg
"Great Indian Comedy Central",PFuZT7sWAcc,"Rahat Indori और Zakir Khan की Comedy और Shayari एक साथ.| THE KAPIL SHARMA SHOW.",2147419,15900,1965,2025-07-09T12:00:51Z,https://i.ytimg.com/vi/PFuZT7sWAcc/hqdefault.jpg
"Great Indian Comedy Central",aAqy7kWpTmU,"Bassi का टुटा Bollywood का DELULU.| Anubhav Singh Bassi | Shraddha Kapoor | Ranbir Kapoor | TKSS.",467604,3867,2354,2025-11-24T12:00:02Z,https://i.ytimg.com/vi/aAqy7kWpTmU/hqdefault.jpg
"Great Indian Laughter Show",Fjy4rehUM8M,"Zakir Khan की Shayari सुनकर तोह Kapil Sharma भी हो गए हैरान😯! Comedians On Kapil Show| Bassi, Kusha",15297,291,4164,2025-11-03T09:36:44Z,https://i.ytimg.com/vi/Fjy4rehUM8M/hqdefault.jpg
