comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Munawar Faruqui",cHLM9L_5gj0,"Doctor & Engineer | Crowd Work | Stand-Up Comedy By Munawar Faruqui",27896600,1085867,1246,2021-05-01T17:30:15Z,https://i.ytimg.com/vi/cHLM9L_5gj0/hqdefault.jpg
"Munawar Faruqui",t4BfHoHawAM,"Stand-Up Comedy | Crowd Work by Munawar Faruqui",19283189,767431,1579,2021-07-10T19:15:12Z,https://i.ytimg.com/vi/t4BfHoHawAM/hqdefault.jpg
"Munawar Faruqui",azrW-87DFAU,"Hanif ki Shaadi | Standup Comedy by Munawar Faruqui | 2023",18775988,720193,1899,2023-09-14T15:30:11Z,https://i.ytimg.com/vi/azrW-87DFAU/hqdefault.jpg
"Munawar Faruqui",wk62YFS3gqc,"Munawar Faruqui - DHANDHO - Standup Comedy (Full Special)",14037426,579659,6524,2026-07-11T16:30:15Z,https://i.ytimg.com/vi/wk62YFS3gqc/hqdefault.jpg
"Munawar Faruqui",vh3km-f3kMI,"War & Gen-Z | Standup Comedy | Munawar Faruqui | 2025",8455550,285486,1219,2025-05-26T12:30:07Z,https://i.ytimg.com/vi/vh3km-f3kMI/hqdefault.jpg
"Naman Jain",RfbS_zVrhV8,"JAADOO TONA | STAND UP COMEDY BY NAMAN JAIN",3142712,86978,1330,2025-08-01T13:35:06Z,https://i.ytimg.com/vi/RfbS_zVrhV8/hqdefault.jpg
"Naman Jain",fQ8kpMzFqZg,"Bachpan | Standup Comedy Special BY NAMAN JAIN",726455,27525,3199,2026-07-18T13:35:06Z,https://i.ytimg.com/vi/fQ8kpMzFqZg/hqdefault.jpg
"Nate Jackson",JXFQBLl2WIw,"NATE JACKSON OCTOBER 2025 CROWD WORK JOINT",1610267,26815,4526,2025-10-03T23:00:07Z,https://i.ytimg.com/vi/JXFQBLl2WIw/hqdefault.jpg
"Nate Jackson",cE7wdyD5U6s,"NATE JACKSON February 2026 CROWD WORK JOINT",755571,10017,3849,2026-02-28T00:00:52Z,https://i.ytimg.com/vi/cE7wdyD5U6s/hqdefault.jpg
"Netflix India",QbNv1LMPdPI,"Bassi & Kapil Sharma REVEAL Comedy Secrets, On-Set Moments & More with the Gang | TGIKS | Netflix",14689098,163014,1265,2024-12-09T13:30:00Z,https://i.ytimg.com/vi/QbNv1LMPdPI/hqdefault.jpg
"Netflix Is A Joke",3tR6mKcBbT4,"8:46 - Dave Chappelle",35456525,947035,1641,2020-06-12T04:59:23Z,https://i.ytimg.com/vi/3tR6mKcBbT4/hqdefault.jpg
"Netflix Is A Joke",n3l4hJS0jsc,"40 Minutes of Black Comedy Excellence",18403891,237312,2279,2021-02-16T01:50:42Z,https://i.ytimg.com/vi/n3l4hJS0jsc/hqdefault.jpg
"Netflix Is A Joke",rp9uFWWBmdE,"Bill Burr, Sebastian Maniscalco, and more on Stand-up vs Therapy | Netflix",2718989,32220,1294,2022-12-07T19:00:00Z,https://i.ytimg.com/vi/rp9uFWWBmdE/hqdefault.jpg
"Nishant Suri",L7ExBB0XdaU,"Gaaliyan emotion hai | Standup Comedy by Nishant Suri",1598140,53868,1254,2025-09-13T14:11:33Z,https://i.ytimg.com/vi/L7ExBB0XdaU/hqdefault.jpg
"Pete Holmes",Bp29wwaZIYo,"Taylor Tomlinson on Prodigal Daughter, Stand-Up & Life | You Made It Weird #peteholmes",96029,2329,6979,2026-02-18T15:00:27Z,https://i.ytimg.com/vi/Bp29wwaZIYo/hqdefault.jpg
"Phil Hanley",MmtiZ1GohoY,"Phil Hanley | Live in San Francisco | Full Crowd Work Show",1276182,24755,1605,2024-10-02T21:20:01Z,https://i.ytimg.com/vi/MmtiZ1GohoY/hqdefault.jpg
